GivenName,Surname
Natalie,Gosselin
Peverell,Clavet
Yvette,Massé
Jesper,Turcotte
Patricia,L'Heureux
Danielle,Lachapelle
Sargent,Laprise
Alfred,Mercier
Armand,Gaillard
Florismart,Ruest
Jay,Laderoute
Gilles,Corbin
Fifine,Thibault
Roland,Grandpré
Lotye,Drouin
Jacqueline,Bériault
Namo,Langlois
Alita,Panetier
Aurore,Parent
Franck,Bellefeuille
Xavier,Bonenfant
Vaden,"de Brisay"
Claudette,Gauvin
Geoffrey,Busson
Solaine,Boulé
Gustave,Monjeau
Lundy,Desnoyers
Vick,Ruest
Sargent,Gabriaux
Jules,Lachapelle
Tanguy,D'Aoust
Eloise,Pelchat
Pryor,Lapresse
Hamilton,Brodeur
Orson,Riquier
Honore,Gregoire
Vivienne,Caya
Gauthier,Auberjonois
Gilles,Bourque
Sennet,Laforge
Orva,Barrientos
Ferragus,Bernier
Théodore,Panetier
Aubert,Charpie
Corinne,Gagné
Karel,Hachée
David,Quirion
Monique,Rocheleau
Roxanne,Grignon
Nathalie,Michaud
Nicole,Voisine
Carole,Aucoin
Francis,Labonté
Pensee,Lagrange
Roger,Provencher
Mayhew,Rivard
Merlin,Fremont
Olivie,Jolicoeur
Gabriel,Bisaillon
Fiacre,Chabot
Élodie,Coupart
Michèle,Guay
Rabican,Vallée
Felicienne,Mathieu
Merlin,Doucet
Frontino,Pomerleau
Olivier,Séguin
Christiane,Laberge
Fifi,Rouze
Arridano,Forest
Jules,Ruais
Renée,Marceau
Burkett,Berthiaume
Morgana,Charette
Caresse,Desroches
Zoé,Turgeon
Mariette,Durepos
Mathilde,Bédard
Caroline,Rochefort
Thomas,Riquier
Claudette,Gingras
Jacquenett,Caouette
Ray,Gagné
Alexandre,Lanoie
Ernest,Couturier
Léon,Lacharité
Philippine,Tougas
Kari,Charron
Parfait,Dionne
Fauna,Therriault
Amber,Lamour
Aurore,Gilbert
Gilles,Hétu
Joséphine,Joly
Bayard,Caya
Fletcher,Lizotte
Édouard,Chabot
Beltane,Roux
Flordelis,Beausoleil
Ogier,Monrency
Charlotte,Labossière
Emmanuelle,Begin
Eglantine,Méthot
Ganelon,Beauchemin
Marveille,Dodier
Nicolette,Goulet
Vignette,Coulombe
Zerbino,Desforges
Maurice,Hervieux
Agrican,Bossé
Latimer,Jomphe
Artus,Bordeaux
Agate,Cadieux
Alexandre,Lachapelle
Julien,Favreau
Adrien,Bourgeois
Nanna,Gaudreau
Algernon,Michaud
Gemma,Camus
Marcel,Bordeleau
Hamilton,Goudreau
Bruno,Poirier
Agathe,Bienvenue
Élisabeth,Goddu
Iven,Baril
Grosvenor,Viens
Brigitte,Lang
Laetitia,Huot
Artus,Bureau
Angelette,Dennis
Matilda,Berthelette
Geneviève,Chabot
Durandana,Brousse
Erembourg,Franchet
Yvette,Lespérance
Neville,Gauvin
Solaine,Paradis
Vedette,Lécuyer
Marcelle,Sanschagrin
Vail,Trépanier
Odelette,Gendron
Villette,Fongemie
Lotye,Boncoeur
Hedvige,Aucoin
Marmion,Rocher
Fabienne,Lapierre
Matilda,Breton
Sennet,Bellemare
Mariette,Tisserand
Henri,Labrecque
Delmar,Fortin
Ferrau,Goudreau
Amarante,Cantin
Quennel,Bizier
Jacqueline,Pichette
Jeannine,Angélil
Ophelia,Descoteaux
Dielle,Lamothe
Eulalie,Lavallée
Raoul,Dufresne
Zerbino,Hervé
Gano,Perillard
Davet,Carignan
Laverne,Roussel
Hortense,Bordeaux
Eulalie,Leclair
Alphonse,Baril
Yvette,Lanoie
Patience,Lejeune
Sacripant,Proulx
Jacqueline,Sevier
Dorothée,Charette
Cloridan,Cailot
Valentine,Fresne
Gaetan,Moïse
Laverne,Beaulac
Gabriel,Ruais
Lance,Sarrazin
Mason,Grenier
Fayette,Landry
Marine,Caouette
Dielle,Jobin
Edmee,Perreault
Charles,Pouchard
Adélaïde,Descoteaux
Chappell,Dodier
Dalmace,Bazinet
Porter,Beauchamps
Eulalie,Boutot
Maureen,Brunelle
Berangaria,LaGrande
Laurence,Allaire
Marlon,Meunier
Anaïs,Ménard
Pryor,Quenneville
Marlon,Frappier
Creissant,Vincent
Gaetane,Cailot
David,Déziel
Camille,Boutot
Fitz,Bousquet
Voleta,Jodoin
"La Roux",Ruais
Madeleine,Louis
Annette,Martel
Carine,Dufresne
Harriette,Rouleau
Inès,Louis
Ferragus,Charette
Zdenek,Rouze
Tanguy,Bondy
Blondelle,Thibodeau
Roslyn,Lebel
Nicholas,Rancourt
Mallory,Fresne
Catherine,Royer
Brigliador,Rivière
Alfred,Cinq-Mars
Harcourt,Parmentier
Odette,Loiselle
Esperanza,Giroux
Benoît,Huard
Victorine,Denis
Turner,Vadnais
Astrid,Racine
Aya,Narcisse
Lundy,LeBatelier
Ormazd,Paquin
Orlene,Boisvert
Merlin,Sicard
Fortun,Lang
Audrey,Lachance
Laverne,Clément
Lance,Bériault
René,Ducharme
Chantal,Lanctot
Langley,Roux
Verrill,Fortin
Yseult,Maheu
Luc,Austin
Esmeraude,Vaillancour
Delit,Pichette
Vignette,Maheu
Saville,Tollmache
William,Guertin
Maryse,Lefèbvre
Odette,Monrency
Verney,Bourgouin
Vignette,Michaud
Jolie,Gareau
Emmanuelle,Martel
Oliver,Bourque
Babette,Gareau
Mignonette,Laforest
Lyle,Levasseur
Jacqueline,Lagacé
Beltane,Rivière
Bertrand,Chalifour
Babette,Brisebois
Sacripant,Narcisse
Sibyla,Ayot
Marlon,Lévesque
Arthur,Doucet
Travers,Davignon
Tyson,Vaillancourt
Algernon,Mousseau
Cécile,Daviau
Belle,Pomerleau
Charlotte,Garreau
Juliette,Cartier
Phillipa,Beaujolie
Honoré,Meilleur
Laure,Course
Bayard,Jolicoeur
Alain,Harquin
Ferragus,Chauvin
Paien,Brousse
Thierry,Lamare
Vick,Chatigny
Baptiste,Beaupré
Curtis,Landry
Aurore,Beaupré
Catherine,D'Aubigné
Parnella,Pichette
Pierrette,Jobin
Namo,Therriault
Dominic,Garnier
Parfait,Couturier
Sacripant,Lamare
Patrick,Lang
Avent,Dionne
Octave,Fugère
Fleur,Dupont
Fantina,Charpentier
Audric,Dostie
Christine,Plourde
Blondelle,Blais
Bradamate,Émond
Dominique,Beaudoin
Annot,Desnoyers
Stéphane,D'Avis
Jacques,Jobin
Fletcher,Batard
Noémi,Provencher
Hugues,Riquier
Brice,D'Aubigné
Jeoffroi,Jomphe
Gabriel,Ducharme
Merlin,Racine
Cher,Bordeleau
Eugène,Batard
Marsilius,Majory
Marmion,Houde
Alexandrie,Begin
Lorraine,Allain
Annette,Arsenault
Honoré,Sacré
Ruby,Roux
Andrée,Bernier
Charlot,Hachée
Apolline,Nadeau
Constance,Turgeon
Pascaline,Pomerleau
Fitz,Martineau
Legget,Faubert
Gaston,Lamontagne
Orson,Fresne
Archard,Leduc
Favor,Dandonneau
Agate,Gosselin
Georges,Boulé
Phillipa,Desforges
Audrey,Dionne
Orva,Talon
Auda,Turcotte
Louis,Caya
Kerman,Doucet
Marguerite,Chandonnet
Tempeste,Panetier
Francis,Paiement
Dominique,Mathieu
Aimée,"de Brisay"
Louise,Brunault
Cécile,Ouellet
Fayette,Sansouci
Victoire,Masson
Somerville,Lamoureux
Jesper,Barrientos
Guy,Querry
Apolline,Brousse
Esmeraude,Marseau
Florence,Martel
Namo,Laprise
Tanguy,Doucet
Rachelle,Bizier
Warrane,Chalifour
Belisarda,Authier
Slainie,Grondin
Harcourt,Fluet
Harcourt,Parenteau
Ferrau,Veilleux
Bayard,Lacharité
Senior,Charron
Royden,Charbonneau
Troy,Mailly
Océane,Metivier
Sargent,Ducharme
Alaine,Lavallée
Fabien,Lambert
Linette,Marcoux
Burrell,Deschênes
Donat,Thériault
Élise,Briard
Delphine,Mothé
Fletcher,Clavette
Simone,Pouliotte
Edmee,Chrétien
Desire,Chesnay
Avril,Aubé
Adélaïde,Rossignol
Jacquenett,Bazin
Olympia,Beauchamps
Grégoire,Laberge
Neville,Mailloux
Saber,Loiseau
Burkett,Poulin
Mayhew,Michaud
Ambra,Gamelin
Tilly,Martineau
Legget,Bourgouin
Émile,Mazuret
Cosette,Goddu
Arber,Mazuret
Fleur,Viens
D'Arcy,Hervieux
Lothair,Grivois
Logistilla,Marois
Émilie,Babin
Belle,Mailly
Adrien,Ferland
Suzette,Lalonde
Karel,Lafontaine
Kerman,Bouchard
Simone,Charlesbois
Calandre,Rochon
Bayard,Drouin
Kerman,Caouette
Anaïs,Rochefort
Alphonse,Brunault
Fifi,Bienvenue
Lance,Gaulin
Raymond,Beaudouin
Durandana,Beauchamp
Eustache,Gabriaux
Daniel,Roussel
Fayette,Bourdette
Gaspar,Chandonnet
Carine,Longpré
Minette,Coudert
Christophe,Norbert
Clementine,Riel
Lance,Jolicoeur
Hortense,Labrecque
Alaine,Authier
Véronique,Beauchamps
Aubrey,Lajeunesse
Harriette,Charlesbois
Gilles,Plouffe
Vaden,Corbin
Tilly,Morin
Nicolette,Rochon
Valiant,Lécuyer
Pomeroy,LaCaille
Gabrielle,Garnier
Arnaud,Marchesseault
Aurore,Grimard
Gradasso,Meunier
Clovis,Louineaux
Iva,Chauvin
Laurene,Corbeil
Legget,Chevrette
Francis,Lapresse
Fauna,Patel
Delphine,Garceau
Artus,Daoust
Yolande,Bellefeuille
Oriel,Racine
Alice,Labrecque
Oliver,Ailleboust
Delit,Paquet
Ila,Vachon
David,Charette
Agathe,Joly
Logistilla,Lussier
Laurette,Poissonnier
Malagigi,Therriault
Eulalie,Authier
Claire,Veronneau
Azura,Monrency
Forrest,Givry
Fayette,"de Brisay"
Odette,Boncoeur
Guy,Morel
Thiery,Aupry
Garland,Marseau
Rémy,Bondy
Felicienne,Girard
Anaïs,Godin
Édith,Noël
Varden,Talon
Véronique,Mercure
Zara,Labrecque
Manville,Sansouci
Clémence,Soucy
Onfroi,Brochu
Gilbert,Coulombe
Philippine,Vertefeuille
Odelette,Dionne
Renée,Beauchemin
Fayme,Hervé
Roux,Simard
Fitz,Ruel
Olympia,Clément
Angelette,Parizeau
Jessamine,Therriault
Maurice,Nadeau
Frédérique,Édouard
Marsilius,Poirier
Germain,Davignon
Corinne,Audet
Felicien,DeGrasse
Pascaline,Rivière
Norris,"de Chateaub"
Jesper,Marseau
Holly,Veronneau
Coralie,"De La Ronde"
Gaetan,Labossière
Marsilius,Gervais
Ray,Moquin
Norris,Deschamps
Dexter,Brunault
Alain,Cormier
Marcelle,Leclerc
Gauthier,Chenard
Amabella,Lauzier
Esperanza,Berger
Galatee,Faucher
Alphonsine,Bourgouin
Eustache,Arnoux
Mallory,Rivard
Antoinette,Desnoyers
Cécile,Trudeau
Verrill,Lacroix
Afrodille,Fournier
Nathalie,Ferland
Demi,Larocque
Donatien,Langlois
Caresse,Dupuis
Percy,Fréchette
Channing,Lacroix
Harcourt,Croteau
Mayhew,Tisserand
Carolos,Poirier
Adorlee,Chassé
Caroline,Roy
Corinne,Gabriaux
Tyson,Lanctot
Thierry,Tanguay
Nathalie,"De La Ronde"
Georgette,Marceau
Jay,Lafond
Pascaline,Lécuyer
Élodie,Sarrazin
Dominique,Dufour
Orville,Pouliotte
Aubrey,Marquis
Orville,Grimard
Diane,Piedalue
Alphonsine,Garceau
Nicolas,Larivière
Rémy,Guimond
Clarice,Fremont
Lucas,Laboissonnière
Georgette,Barrientos
Clothilde,Foucault
Marcel,Côté
Creissant,Foucault
Trinette,Labrecque
Dielle,Paré
Arienne,Chrétien
Matthieu,Gamache
Laetitia,Lapierre
Tilly,Vachon
Joséphine,Grivois
Alexis,Arcouet
Maurelle,Cloutier
Leala,Margand
Dorene,Gervais
Huon,Gauvin
Avenall,Devost
Mireille,Turcotte
Gano,Beaudouin
Ogier,Lépicier
Laetitia,Lizotte
Moore,Sauriol
Danielle,Racicot
Senapus,Desnoyers
Maurelle,Cotuand
Kerman,Saurel
Yves,Bureau
Archaimbau,Lambert
Bevis,Lanoie
Gallia,Gilbert
Channing,Camus
Merci,Mothé
Lance,Latourelle
Charline,Perreault
Florus,Sacré
Latimer,Couture
Arnaud,Dufour
Bernard,Abril
Catherine,Labrecque
Loyal,Lanctot
Royce,Blais
Armand,Picard
Cerise,Michel
Travers,Ratté
Talbot,Casgrain
Hedvige,Clavette
Pierrette,Duval
Cerise,Gaillou
Mandel,Pelletier
Dorene,Morneau
Roger,Gauthier
Adorlee,Truchon
Jacquenett,Dostie
Demi,Gosselin
Mavise,Sabourin
Valentine,Migneault
Nicholas,Gendron
Mayhew,Flamand
Jérôme,Létourneau
Ancelote,Richard
Eliot,Parmentier
Georgette,Boivin
Édouard,Dubois
Jules,Fréchette
Thomas,Barrientos
Fabienne,Martin
Roxanne,Babin
Lothair,Charbonneau
Charles,Beaupré
Clémence,Poulin
Dorene,Franchet
Emmanuelle,Simon
Iven,Sabourin
Belisarda,Lizotte
Agrican,Maheu
Auriville,Parenteau
Marshall,Moquin
Montague,Guay
Anton,Boncoeur
Clothilde,"De La Ronde"
Peppin,Rodrigue
Danielle,Senneville
Théophile,Martel
Virginie,Duplessis
Vick,Lamarre
Hamilton,Sacré
Langley,Pinette
Honore,Trudeau
Harcourt,Lalonde
Natalie,Langlois
Artus,Chevrette
Fortun,Déziel
Patience,Poissonnier
Huon,Gamelin
Honoré,Marceau
Marc,Lagueux
Armina,Fresne
Henri,Angélil
Maryse,Marceau
Chappell,Duffet
Leroy,Poirier
Rachelle,Grenier
Blondelle,Généreux
Genevre,Villeneuve
Auda,Bonnet
Faye,Guertin
Orville,Laforge
Falerina,Grivois
Berangaria,Thibodeau
Blanchefle,Trottier
Millard,Foucault
Avril,Faubert
Merle,Quenneville
Granville,Labrecque
Chappell,Pirouet
Jules,Dubois
Javier,Vaillancour
Isabelle,Sevier
Fusberta,Bertrand
Frédérique,Sicard
Dexter,Coupart
Auriville,Desforges
William,DuLin
Eliot,Arpin
Vignette,Melanson
Mandel,Pellerin
Aubrey,Brisebois
Patience,Lesage
Merlin,Charron
Aceline,L'Anglais
Ferrau,Garcia
Christophe,Desruisseaux
Dalmace,Bergeron
Alice,Lessard
Sidney,Lamy
Leverett,Deniger
Blanche,Jodoin
Patrice,Duplanty
Hardouin,L'Anglais
Ancelote,Perrault
Chantal,Laforge
Annot,Parenteau
Denis,Rodrigue
Daisi,LaGarde
Théophile,Harquin
Daniel,Gervais
Aubert,Deschamps
Xavier,Louineaux
Hedvige,Beaudry
Satordi,Fluet
Phillipa,Coudert
Damiane,Fresne
Elita,Marceau
Vachel,Giguère
Faustin,Paimboeuf
Dominic,Chnadonnet
Capucine,Cliche
Yvette,Hughes
Neville,Bisaillon
Brunella,Leclair
Pénélope,Laramée
Vail,Moreau
Yolande,Cotuand
Legget,St-Jean
Damiane,Houle
Beltane,Jardine
Faustin,Denis
Eleanor,Lefèbvre
Lothair,Cotuand
Magnolia,Lepage
Ninette,Jetté
Lothair,Robillard
Philip,Fortin
Apolline,Boulanger
Madeleine,Aubé
Aurélie,Gamache
Orson,Audet
Dominique,Charlebois
Pinabel,Gareau
Marguerite,Chenard
Avelaine,Généreux
Archaimbau,Marois
Pénélope,David
Ambra,Tougas
Marjolaine,Mailloux
Pinabel,Devoe
Aubrette,Chrétien
Monique,Langlois
Hugh,Chartré
Gérard,Frappier
Clovis,Angélil
Gemma,Dupont
Valentine,Deschamps
Arlette,Montminy
Julie,Barrientos
Éric,Gougeon
Zoé,Mailly
Amaury,Lavallée
Patience,Beauchamps
Aceline,Bourget
Alexandre,Lamarre
Agate,Ruest
Virginie,Audet
Tearlach,Primeau
Beltane,Bazin
Ruby,Bordeaux
Christian,Angélil
Gill,Laforest
Victorine,Lafrenière
Raymond,Thibault
Sophie,Beaulieu
Vick,Bonenfant
André,Guay
Landers,Begin
Avenall,Charrette
Zdenek,Lafontaine
Jesper,Houle
Florence,Lanoie
Wyatt,Soucy
Maryse,Loiseau
Sébastien,Soucy
Élise,Rouleau
Aymon,Forest
Ermengardi,Daviau
Byron,Houle
Aimée,Grandpré
Arridano,Marceau
Fusberta,Labossière
Émile,Tremblay
Marine,Lamour
Logistilla,Quiron
Michèle,Daoust
Yvette,Bordeaux
Eugenia,Beauchemin
Gradasso,Perillard
Orlene,Vallée
Arno,Pouchard
Francis,"Du Trieux"
Florus,Quiron
Hamilton,Duclos
Florismart,Brunault
Noémi,Charlebois
Sidney,Beaudouin
Marc,Grignon
Bellamy,Grandpré
Roger,Desnoyers
Melisande,Grignon
Adrienne,Jolicoeur
Olympia,Lacharité
Éric,Pirouet
Joy,Labelle
Paien,Poulin
Simone,Sicard
Lance,Soucy
Élodie,Cressac
Pierrette,Collin
Joanna,Collin
Lucas,Vallée
Zdenek,Simard
Carolos,Pelland
Mariette,Collin
Émile,DuLin
Chandler,Tremblay
Norris,Goudreau
Thibaut,Déziel
Gradasso,Lapointe
Prunella,Laliberté
Peppin,Hébert
Ormazd,Rouleau
Delphine,Doucet
Galatee,Melanson
Natalie,Lacasse
Caresse,Goddu
Aloin,Tollmache
Henri,Lizotte
Albertine,Lesage
Amber,Lévesque
Amaury,Benoit
Yolande,Saindon
Etoile,Jardine
Fleurette,Leclair
Mavise,Varieur
Roslyn,Pirouet
Amarante,Leclair
Leverett,Laux
Bernard,Berger
Estelle,CinqMars
Joanna,Briard
Élise,Laisné
Philippine,Croteau
Carolos,Patenaude
Tabor,Berger
Susanne,Henrichon
Sargent,Lécuyer
Zacharie,Desjardins
Guy,Deblois
Marsilius,Barrientos
Ray,Bler
Alfred,Laprise
Pierre,Ménard
Onfroi,Saindon
Tilly,Bérard
Arlette,Rivière
Magnolia,Caisse
Zdenek,René
Raina,Viens
Melusina,Piedalue
Anton,Beaudoin
Gifford,Brasseur
Kari,Breton
Honore,Duranseau
Arridano,Richer
Tanguy,Lépicier
Wyatt,Goddu
Lundy,Guilmette
Hardouin,Bériault
Peverell,DeGrasse
Florence,Busque
Zerbino,Gosselin
Ray,Lapierre
Gill,Lereau
Rabican,Pichette
Carine,Sauriol
Pascal,Jomphe
Marjolaine,Mailloux
Huon,Maheu
Juliette,Ruel
Loyal,Lacasse
Rive,Fortier
Simone,LaCaille
Alphonsine,Fontaine
Vedette,Provencher
Christabel,Grondin
Cher,Lamy
Berangaria,Barrière
Richard,Paimboeuf
Travers,Latourelle
Esmeraude,Chesnay
Solaine,Paiement
David,Riel
Bevis,Ruel
Anne,Savoie
Roch,Bordeleau
Eglantine,Clément
Desire,Veronneau
Pensee,Boisclair
Paul,Dumont
Alacoque,Bernier
Pierpont,Étoile
Mayhew,Daviau
Eulalie,D'Aubigné
Gilles,Boisclair
Aurélie,Casgrain
Joy,Labossière
Claudette,Beauchamps
Arber,Parrot
Marlon,Cousteau
Malagigi,Doucet
Clarimunda,Croquetaigne
Zurie,Cyr
Donatien,Majory
Sidney,CinqMars
Marguerite,Davignon
Zerbino,Gabriaux
Aubert,Blanchard
Liane,Carignan
Mariette,Provencher
Joseph,Rouleau
Sidney,Mireault
Jacquenett,Auberjonois
Lowell,Grondin
"La Roux",Dupuis
Leal,Cressac
Jeanette,Ruel
Bertrand,Noël
Clothilde,Fournier
Raymond,Chesnay
Valiant,Giguère
Adrienne,Denis
Manville,Étoile
Adélaïde,Patel
Alexis,Chouinard
Aimé,Bonenfant
Zoé,Blais
Frédéric,Demers
Thiery,Huard
Anaïs,Lavoie
Lyle,Gauthier
Sennet,Dubeau
Linette,St-Pierre
Morgana,Beauchemin
Nicholas,Dubois
Gaspar,Lamoureux
Arianne,Gagné
Fantina,Neufville
Maurelle,Levasseur
Solaine,Arcouet
Fiacre,Loiseau
Christian,Tisserand
Frédéric,Voisine
Martin,Laurent
Alphonsine,Bonnet
Marine,Parizeau
Linette,Renaud
Germain,Marquis
Geneviève,Martin
Corette,L'Angelier
Valiant,Dubé
Aubrette,Cailot
Mirabelle,Louis
Gaspar,Brian
Alita,Vertefeuille
Fletcher,Aubin
Felicien,Veilleux
Auriville,Pépin
Charles,Loiseau
Merle,Richard
Raymond,Labbé
Brigitte,"de Chateaub"
Inès,Lamarre
Archard,Lang
Diane,Belisle
Stéphane,Mazuret
Rabican,Grignon
Barry,Cailot
Lucas,Tougas
Babette,Perrault
Talon,Picard
Tempeste,Miron
Bruce,Barrière
Thomas,Masson
Soren,Robillard
Henri,Voisine
Marine,Picard
Burnell,Dumoulin
Dalmace,Cousteau
Dielle,LaGarde
Patricia,Aubé
Jérôme,Sirois
Matilda,Audibert
Rive,Labrecque
Gaetane,Dubé
Sabine,Brunelle
Albertine,Boileau
Marcelle,Cadieux
Patrick,Joly
Françoise,Chaloux
Patrick,Léveillé
Arianne,Rivière
Paul,Loiseau
Bartlett,Ruest
Loring,Hughes
Agathe,Mouet
Maryse,Cousteau
Alphonse,Primeau
Belisarda,Lereau
Mercer,Desroches
Marc,Deschamps
Stéphanie,Lang
Yves,Couture
Aurélie,Lanoie
Amedee,Deserres
Courtland,Lazure
Cécile,Demers
Curtis,Tessier
Melisande,Marchesseault
Cheney,Souplet
Anne,Provencher
Guy,Guilmette
Genevre,Neufville
Fabien,Rochon
Aleron,Doucet
Alita,Martel
Eloise,Caisse
Gilbert,Thibodeau
Amarante,Quirion
Eustache,Bouvier
Raoul,Levasseur
Aubin,Duffet
Porter,Pellerin
Langley,Aubin
Fayme,Provencher
Flordelis,Gaillou
Amorette,Chastain
Fortun,Rhéaume
Fletcher,Labrecque
Felicien,Bazinet
Liane,Forest
Aurélie,Gaillou
Marguerite,Brisette
Didiane,Robitaille
Arienne,Boisclair
Fiacre,Paquette
Esperanza,Tisserand
Faustin,Lachance
Patrick,Bélair
Aymon,Grenier
Armand,Beaulieu
Cerise,Barrientos
Carine,Tougas
Germain,Quessy
Comforte,Bélair
Hugh,Bérard
Camille,Provencher
Arnaude,Paré
Garland,Deschênes
Anne,Lamour
Dreux,Laframboise
Royden,Desrosiers
Eleanor,Méthot
Fiacre,Lafontaine
Christien,Champagne
Aceline,Lajoie
Emmanuel,Gaudreau
Burrell,Dennis
Clarice,"De La Ronde"
"La Roux",Tachel
Éléonore,Patry
Luc,Gabriaux
Somerville,Vadnais
Laurene,Devost
Rive,Vaillancourt
Rule,Berthiaume
Brier,Doucet
Dixie,Begin
Beltane,Leroy
Fabienne,Faure
Sabine,Nadeau
Éric,Cressac
Arienne,Roux
Thomas,Rivière
Nicolas,Turgeon
Favor,Godin
Creissant,Berger
Romaine,Martineau
Maslin,Racine
Julie,"De La Vergne"
Searlait,LaCaille
Medoro,Lemaître
Huette,Lacroix
Amarante,Vaillancour
Lotye,Plaisance
Rachelle,Mainville
Arnaude,Lalonde
Élodie,Charpentier
Pansy,Bonsaint
Cheney,Boisclair
Laurette,Begin
Hugues,Marquis
Sabine,Corbin
Jacques,Dumoulin
Albertine,Guédry
Maureen,Aucoin
Porter,Gour
Isaac,Durepos
Zacharie,Étoile
Genevre,Clavette
Paien,Cloutier
Arnaude,David
Burnell,Lesage
Blondelle,Bélanger
Sidney,Auger
Algernon,Laramée
Favor,Picard
Granville,Gaillard
Dominic,Beaujolie
Huette,Rouze
Olympia,Loiseau
Sidney,Dionne
Carolos,Gendron
Audrey,Tachel
Florus,Baron
Nicolas,Vaillancour
Guillaume,Leduc
Melodie,Lauzier
Laurette,Foucault
Musette,Paulet
Quincy,Gingras
Antoine,Tanguay
Orville,Turcotte
Ormazd,Devost
Bernadette,Doiron
Caresse,Provencher
Harcourt,Gervais
Richard,Tanguay
Scoville,Émond
Neville,Lespérance
Babette,Robitaille
Patrice,Desnoyer
Ancelina,Morin
Dominique,Couet
Aiglentina,Cliche
Burkett,Gousse
Vaden,Petit
Grégoire,Savard
Eliot,Ratté
D'Arcy,Dubé
Jeanette,Leclair
Cécile,Laisné
Valentine,Mailhot
Oriel,Étoile
Nathalie,Audet
Falerina,Courtois
Falerina,Aubé
Eugène,Labrie
Franck,Plaisance
Amitee,Therrien
Alexandrie,Tardif
Fifi,Bonneville
Roland,Saucier
Carolos,DuLin
Arno,Desrosiers
Marcelle,Dupuis
Orson,Grenier
Gradasso,Lemieux
Ignace,Bélanger
Armina,Gaillou
Hugh,Bonneville
Théophile,Daigle
Mireille,Marier
Théodore,Lambert
Jay,Migneault
Éléonore,Brasseur
Artus,Guay
Yolette,Tanguay
Paul,Vertefeuille
Germain,Chabot
Falerina,Séguin
Vincent,Piedalue
Anouk,Bellefeuille
Dalmace,Morel
Pauline,Migneault
Royce,LaGarde
Merlin,Lépicier
Ambra,LeBatelier
Thérèse,LeBatelier
Jessamine,Beaudouin
Ila,Bolduc
Roslyn,Camus
Logistilla,Dufresne
Gérard,Begin
Jacquenett,Mailloux
Loring,Desaulniers
Montague,Clavet
Latimer,Busque
Albertine,Faubert
Grosvenor,Deniger
Burrell,Poissonnier
Mireille,Couturier
Gill,Monjeau
Laurence,Achin
Thérèse,Salmons
Garland,Deslauriers
Namo,Dandonneau
Davet,Huard
Françoise,Labossière
Léon,Cuillerier
Royden,Lécuyer
Patrick,Labelle
Susanne,Bilodeau
Juliette,L'Heureux
Arber,Chatigny
Antoine,Binet
Joséphine,Laforge
Harriette,Rouze
Juliette,Beaujolie
Jeannine,Lapointe
Gilles,Clavette
Édith,Bourgouin
Quincy,Bondy
Jacques,Brunelle
Ferragus,Desilets
Burkett,Charpie
Christian,Gagné
Hardouin,Duval
Jacques,Chauvet
Fleur,"Des Meaux"
Charmaine,Richer
Luc,Arsenault
Véronique,Grenier
Viollette,Brunault
Wyatt,Laisné
Belle,Ménard
Adèle,Devoe
Ferrau,Leblanc
Tanguy,Talon
Logistilla,CinqMars
Davet,Lamontagne
Garland,Dennis
Marveille,Faucher
Villette,Grandpré
Erembourg,Ouellet
Namo,Thibodeau
Joy,Thibodeau
Christophe,Lalonde
Brier,Bertrand
D'Arcy,Beauchemin
Christien,Quinn
Chappell,Fremont
Malagigi,Morneau
Yseult,Grandbois
Bayard,Beaudouin
Marcel,D'Aubigné
Andrée,Allard
Barry,Paradis
Denis,Barrette
Galatee,Pelland
Gaetan,Boncoeur
Monique,Panetier
Kari,Perrault
Burnell,Coudert
Mariette,Denis
Felicien,Bonami
Bevis,Lapointe
Loyal,Gladu
Fiacre,Miron
Orva,Barjavel
Paul,Trudeau
Linette,Gagné
Joséphine,Sciverit
Paige,Adler
Pascaline,Margand
Creissant,Fugère
Lotye,Patenaude
Florismart,Bazin
Aceline,Brisette
Roch,Austin
Searlas,Primeau
Fabrice,Poulin
Alaine,Jomphe
Noémi,Faucher
Thierry,Mathieu
Amber,Martin
Belda,Garcia
Sophie,Arpin
Marsilius,Duperré
Moore,Coupart
Artus,Bolduc
Leroy,Leblanc
Arno,Ayot
Demi,Bler
Karel,Séguin
Marmion,Gosselin
Michel,Larocque
Caresse,Rancourt
Françoise,Brochu
Latimer,Longpré
Pomeroy,Chalut
Zurie,Robitaille
Berangaria,Martel
Ogier,Vachon
Carolos,Sicard
Fifine,Rivard
Xavierre,CinqMars
Senior,Picard
Algernon,Patry
Auriville,Echeverri
Yvette,Lanoie
Falerina,Lauzier
Orville,Hébert
Zurie,Morel
Mirabelle,Pinneau
Searlait,Josseaume
Isaac,Durepos
Montague,Busson
Suzette,Arsenault
Eustache,Bouvier
Thiery,Pinneau
Valérie,Devoe
Alfred,Charrette
Claude,Bellemare
Zerbino,Poissonnier
Norris,Chandonnet
Ranger,Lécuyer
Tristan,Nadeau
Yvon,Lapierre
Millicent,Cousteau
Aubrey,Lemaître
Cloridan,Pépin
Julien,Soucy
Auriville,Dubeau
Cammile,Perillard
Fabrice,Lalonde
Warrane,Dennis
Ansel,Monjeau
Huette,Sirois
Avelaine,Dennis
Annette,Goddu
Raoul,Larocque
Viollette,Rocheleau
Emmanuelle,Beauchemin
"La Roux",Garceau
Jesper,Leclerc
Alaine,Lemelin
Avice,Quessy
